start_sample,end_sample,instrument_id,midi_note,measure,beat,note_value
10206,22494,43,46,1,0.000000,Dotted Eighth
10206,25054,41,65,1,0.000000,Quarter
10206,42462,41,61,1,0.000000,Dotted Half
25566,29150,41,63,1,0.250000,Eighth
25566,30686,43,58,1,0.250000,Dotted Eighth
29662,34270,41,65,1,0.375000,Eighth
34270,39902,41,66,1,0.500000,Dotted Eighth
34270,64990,42,58,1,0.500000,Whole
42462,46557,41,63,1,0.750000,Eighth
42462,48094,43,39,1,0.750000,Dotted Eighth
46557,50654,41,61,1,0.875000,Eighth
50654,55774,43,56,2,0.000000,Dotted Eighth
50654,57822,41,63,2,0.000000,Quarter
50654,72670,41,60,2,0.000000,Dotted Half
57822,61406,41,61,2,0.250000,Eighth
57822,62430,43,44,2,0.250000,Dotted Eighth
61406,64990,41,63,2,0.375000,Eighth
64990,70110,41,65,2,0.500000,Dotted Eighth
64990,96734,42,56,2,0.500000,Whole
73182,76254,41,61,2,0.750000,Eighth
73182,77278,43,37,2,0.750000,Dotted Eighth
76254,79838,41,60,2,0.875000,Eighth
80350,85982,43,42,3,0.000000,Dotted Eighth
80350,88542,41,61,3,0.000000,Quarter
80350,104926,41,58,3,0.000000,Dotted Half
88542,92638,41,60,3,0.250000,Eighth
88542,94173,43,54,3,0.250000,Dotted Eighth
92638,96734,41,61,3,0.375000,Eighth
96734,102366,41,63,3,0.500000,Dotted Eighth
96734,102366,42,54,3,0.500000,Dotted Eighth
96734,102366,43,42,3,0.500000,Dotted Eighth
104926,109022,41,60,3,0.750000,Eighth
104926,110046,41,63,3,0.750000,Dotted Eighth
104926,110046,42,51,3,0.750000,Dotted Eighth
104926,110046,43,42,3,0.750000,Dotted Eighth
109022,112606,41,58,3,0.875000,Eighth
112606,119262,41,57,4,0.000000,Quarter
112606,119262,41,65,4,0.000000,Quarter
112606,119262,42,48,4,0.000000,Quarter
112606,119262,43,41,4,0.000000,Quarter
142814,148446,43,46,5,0.000000,Dotted Eighth
142814,151006,41,65,5,0.000000,Quarter
142814,164318,41,61,5,0.000000,Dotted Half
151006,154590,41,63,5,0.250000,Eighth
